matrix,split,rows,cols,nnz,reference_status,reference_backend,reference_total_s,density_1024_entropy_norm,density_1024_std,density_1024_gini,density_1024_sum,density_1024_backend,density_1024_build_s,density_1024_compute_s,density_1024_total_s,method,normalization,resolution,density_ratio,curve_index,status,compress_backend,compress_s,fft_s,interp_s,total_s,log_mae_interp,entropy_error_interp,radial_error_interp,entropy_error_direct,radial_error_direct,sample_fraction,sample_axis_rows,sample_axis_cols,sample_count,backend,sample_s,compute_s,note
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,unit,1385,0.125,4,ok,gpu,0.0024660800117999315,0.00033735204488039017,0.2402711878530681,0.2431902640964836,4.347068786621094,0.6436862945556641,0.013542458214646943,0.7373733520507812,0.013543488501464251,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,none,1039,0.09375,5,ok,gpu,0.002477250061929226,0.09370049787685275,0.2377283088862896,0.3339795800857246,3.208186149597168,0.08144950866699219,0.004892209821963884,0.1145181655883789,0.004875212803453599,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,mass,1039,0.09375,5,ok,gpu,0.002477250061929226,0.0002487008459866047,0.2383975638076663,0.24125592107884586,1.329252004623413,0.014814376831054688,0.002995788559689588,0.0064296722412109375,0.002993186925244717,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,unit,1039,0.09375,5,ok,gpu,0.002477250061929226,0.0003204899840056896,0.23778490792028606,0.2407003662083298,4.34647274017334,0.6326980590820312,0.010865585125825295,0.7366571426391602,0.010800497259754082,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,none,693,0.0625,6,ok,gpu,0.002332191215828061,0.019798601046204567,0.23622846906073391,0.25843261228874326,3.5972115993499756,0.14509963989257812,0.009074191768774272,0.18554210662841797,0.008938225828807649,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,mass,693,0.0625,6,ok,gpu,0.002332191215828061,0.00024114595726132393,0.23591640498489141,0.23862745938822627,1.3955796957015991,0.013765335083007812,0.00322862531613022,0.0061130523681640625,0.0031301803298057203,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,unit,693,0.0625,6,ok,gpu,0.002332191215828061,0.00023947306908667088,0.23593666404485703,0.23862316133454442,4.345848560333252,0.7864875793457031,0.0160724398386247,0.9072961807250977,0.016020767374627928,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,none,520,0.046875,7,ok,gpu,0.0024762891698628664,0.018165030982345343,0.2356269450392574,0.2563419481739402,3.7855777740478516,0.19955062866210938,0.010703350212877194,0.2446460723876953,0.010565469399790195,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,mass,520,0.046875,7,ok,gpu,0.0024762891698628664,0.0002445629797875881,0.23548820707947016,0.23834204603917897,1.4667119979858398,0.01331329345703125,0.003275793417591538,0.005390167236328125,0.003263204809649578,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,unit,520,0.046875,7,ok,gpu,0.0024762891698628664,0.00023911194875836372,0.2362264150287956,0.23905757116153836,4.34511137008667,0.8617496490478516,0.018492986792655312,0.9971904754638672,0.018369780276400176,,,,,,,,
CurlCurl_0,full_eval,11083,11083,113343,ok,gpu,0.1622518771328032,0.6434715896391289,0.012499402997865512,0.9944377171647949,967.8921508789062,gpu,1.4191454739775509,0.13780521717853844,1.557183210970834,density_fft,none,346,0.03125,8,ok,gpu,0.002258467022329569,0.058724112808704376,0.2348289720248431,0.29588918294757605,3.9911000728607178,0.2557334899902344,0.0088598009438689,0.3126363754272461,0.00850886691955421,,,,,,,,
