split,method,normalization,resolution,curve_index,density_ratio,sample_fraction,sample_axis_rows,sample_axis_cols,sample_count,log_mae_interp_count,log_mae_interp_mean,log_mae_interp_median,log_mae_interp_std,entropy_error_interp_count,entropy_error_interp_mean,entropy_error_interp_median,entropy_error_interp_std,entropy_error_direct_count,entropy_error_direct_mean,entropy_error_direct_median,entropy_error_direct_std,radial_error_interp_count,radial_error_interp_mean,radial_error_interp_median,radial_error_interp_std,radial_error_direct_count,radial_error_direct_mean,radial_error_direct_median,radial_error_direct_std,compress_s_mean,compress_s_median,fft_s_mean,fft_s_median,interp_s_mean,interp_s_median,compute_s_mean,compute_s_median,total_s_mean,total_s_median,density_1024_entropy_norm_mean,density_1024_entropy_norm_median,density_1024_std_mean,density_1024_std_median,density_1024_gini_mean,density_1024_gini_median
full_eval,density_fft,unit,346,8,0.03125,,,,,1,4.344048023223877,4.344048023223877,,1,0.9111442565917969,0.9111442565917969,,1,1.0783939361572266,1.0783939361572266,,1,0.01555504547377626,0.01555504547377626,,1,0.01514663321850164,0.01514663321850164,,0.002258467022329569,0.002258467022329569,0.00024557486176490784,0.00024557486176490784,0.2349020631518215,0.2349020631518215,,,0.23752254992723465,0.23752254992723465,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,unit,520,7,0.046875,,,,,1,4.34511137008667,4.34511137008667,,1,0.8617496490478516,0.8617496490478516,,1,0.9971904754638672,0.9971904754638672,,1,0.018492986792655312,0.018492986792655312,,1,0.018369780276400176,0.018369780276400176,,0.0024762891698628664,0.0024762891698628664,0.00023911194875836372,0.00023911194875836372,0.2362264150287956,0.2362264150287956,,,0.23905757116153836,0.23905757116153836,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,unit,693,6,0.0625,,,,,1,4.345848560333252,4.345848560333252,,1,0.7864875793457031,0.7864875793457031,,1,0.9072961807250977,0.9072961807250977,,1,0.0160724398386247,0.0160724398386247,,1,0.016020767374627928,0.016020767374627928,,0.002332191215828061,0.002332191215828061,0.00023947306908667088,0.00023947306908667088,0.23593666404485703,0.23593666404485703,,,0.23862316133454442,0.23862316133454442,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,unit,1039,5,0.09375,,,,,1,4.34647274017334,4.34647274017334,,1,0.6326980590820312,0.6326980590820312,,1,0.7366571426391602,0.7366571426391602,,1,0.010865585125825295,0.010865585125825295,,1,0.010800497259754082,0.010800497259754082,,0.002477250061929226,0.002477250061929226,0.0003204899840056896,0.0003204899840056896,0.23778490792028606,0.23778490792028606,,,0.2407003662083298,0.2407003662083298,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,unit,1385,4,0.125,,,,,1,4.347068786621094,4.347068786621094,,1,0.6436862945556641,0.6436862945556641,,1,0.7373733520507812,0.7373733520507812,,1,0.013542458214646943,0.013542458214646943,,1,0.013543488501464251,0.013543488501464251,,0.0024660800117999315,0.0024660800117999315,0.00033735204488039017,0.00033735204488039017,0.2402711878530681,0.2402711878530681,,,0.2431902640964836,0.2431902640964836,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,unit,2078,3,0.1875,,,,,1,4.347283363342285,4.347283363342285,,1,0.5111274719238281,0.5111274719238281,,1,0.5995397567749023,0.5995397567749023,,1,0.00850475134667407,0.00850475134667407,,1,0.00851570898145689,0.00851570898145689,,0.0025536390021443367,0.0025536390021443367,0.0008233820553869009,0.0008233820553869009,0.24859776115044951,0.24859776115044951,,,0.25209275004453957,0.25209275004453957,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,unit,2771,2,0.25,,,,,1,4.347540855407715,4.347540855407715,,1,0.5194129943847656,0.5194129943847656,,1,0.6012554168701172,0.6012554168701172,,1,0.007669886099854001,0.007669886099854001,,1,0.007680754321737343,0.007680754321737343,,0.002571532968431711,0.002571532968431711,0.0012280349619686604,0.0012280349619686604,0.2603665520437062,0.2603665520437062,,,0.264298815978691,0.264298815978691,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,unit,4156,1,0.375,,,,,1,4.347699165344238,4.347699165344238,,1,0.4454326629638672,0.4454326629638672,,1,0.5252761840820312,0.5252761840820312,,1,0.006755150293120374,0.006755150293120374,,1,0.006753344846403532,0.006753344846403532,,0.005334867862984538,0.005334867862984538,0.0070377199444919825,0.0070377199444919825,0.2940103900618851,0.2940103900618851,,,0.3065508739091456,0.3065508739091456,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,density_fft,unit,5542,0,0.5,,,,,1,4.3480377197265625,4.3480377197265625,,1,0.5245418548583984,0.5245418548583984,,1,0.5789909362792969,0.5789909362792969,,1,0.007580720371066944,0.007580720371066944,,1,0.007561695542279178,0.007561695542279178,,0.0013350320514291525,0.0013350320514291525,0.014429797185584903,0.014429797185584903,0.3409820138476789,0.3409820138476789,,,0.3569562879856676,0.3569562879856676,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,sparse_direct_grid,na,2,0,,0.00015625,2.0,2.0,4.0,1,4.369556903839111,4.369556903839111,,1,0.02652740478515625,0.02652740478515625,,1,1.1920928955078125e-07,1.1920928955078125e-07,,1,0.0022191375538393615,0.0022191375538393615,,1,0.0,0.0,,,,,,0.28778700716793537,0.28778700716793537,19.60912765120156,19.60912765120156,19.897114103427157,19.897114103427157,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
full_eval,sparse_direct_grid,na,3,1,,0.0003125,3.0,3.0,9.0,1,3.602165460586548,3.602165460586548,,1,0.01950836181640625,0.01950836181640625,,1,7.152557373046875e-07,7.152557373046875e-07,,1,0.004102085417864365,0.004102085417864365,,1,1.914441273495604e-07,1.914441273495604e-07,,,,,,0.23347744112834334,0.23347744112834334,0.060006174026057124,0.060006174026057124,0.2935840191785246,0.2935840191785246,0.6434715896391289,0.6434715896391289,0.012499402997865512,0.012499402997865512,0.9944377171647949,0.9944377171647949
